image,filename,match_source,match_id,match_slug,match_name
/static/images/pectorales/press-banca-mancuernas.png,press-banca-mancuernas,data/exercises_complete.json,76,press-banca-mancuernas,Press Banca Mancuernas
/static/images/pectorales/aperturas-mancuernas.png,aperturas-mancuernas,data/exercises_complete.json,75,aperturas-mancuernas,Aperturas Mancuernas
/static/images/pectorales/press-maquina-sentado.png,press-maquina-sentado,data/exercises_complete.json,74,press-maquina-sentado,Press Maquina Sentado
/static/images/pectorales/press-banca.png,press-banca,data/exercises_complete.json,73,press-banca,Press Banca
/static/images/pectorales/press-inclinado-mancuernas.png,press-inclinado-mancuernas,data/exercises_complete.json,72,press-inclinado-mancuernas,Press Inclinado Mancuernas
/static/images/biceps/curl-de-cable-en-polea-baja-una-mano.png,curl-de-cable-en-polea-baja-una-mano,data/exercises_complete.json,71,curl-de-cable-en-polea-baja-una-mano,Curl De Cable En Polea Baja Una Mano
/static/images/biceps/curl-con-cuerda-polea.png,curl-con-cuerda-polea,data/exercises_complete.json,70,curl-con-cuerda-polea,Curl Con Cuerda Polea
/static/images/biceps/curl-de-cable-con-barra-recta-polea-baja.png,curl-de-cable-con-barra-recta-polea-baja,data/exercises_complete.json,69,curl-de-cable-con-barra-recta-polea-baja,Curl De Cable Con Barra Recta Polea Baja
/static/images/biceps/curl-con-barra-z.png,curl-con-barra-z,data/exercises_complete.json,68,curl-con-barra-z,Curl Con Barra Z
/static/images/biceps/curl-alterno-mancuernas.png,curl-alterno-mancuernas,data/exercises_complete.json,67,curl-alterno-mancuernas,Curl Alterno Mancuernas
/static/images/biceps/curl-predicador-con-barra-z.png,curl-predicador-con-barra-z,data/exercises_complete.json,66,curl-predicador-con-barra-z,Curl Predicador Con Barra Z
/static/images/biceps/curl-con-barra.png,curl-con-barra,data/exercises_complete.json,65,curl-con-barra,Curl Con Barra
/static/images/biceps/curl-concentrado-mancuernas.png,curl-concentrado-mancuernas,data/exercises_complete.json,64,curl-concentrado-mancuernas,Curl Concentrado Mancuernas
/static/images/biceps/curl-barra-invertido.png,curl-barra-invertido,data/exercises_complete.json,63,curl-barra-invertido,Curl Barra Invertido
/static/images/biceps/curl-inclinado-mancuernas.png,curl-inclinado-mancuernas,data/exercises_complete.json,62,curl-inclinado-mancuernas,Curl Inclinado Mancuernas
/static/images/biceps/curl-muñeca-con-barra-sentado.png,curl-muñeca-con-barra-sentado,data/exercises_complete.json,61,curl-muñeca-con-barra-sentado,Curl Muñeca Con Barra Sentado
/static/images/biceps/extension-de-muñeca-barra-sentado.png,extension-de-muñeca-barra-sentado,data/exercises_complete.json,60,extension-de-muñeca-barra-sentado,Extension De Muñeca Barra Sentado
/static/images/biceps/curl-de-cable-polea-alta-de-pie.png,curl-de-cable-polea-alta-de-pie,data/exercises_complete.json,59,curl-de-cable-polea-alta-de-pie,Curl De Cable Polea Alta De Pie
/static/images/biceps/curl-alterno-martillo-mancuernas.png,curl-alterno-martillo-mancuernas,data/exercises_complete.json,58,curl-alterno-martillo-mancuernas,Curl Alterno Martillo Mancuernas
/static/images/hombros/elevaciones-frontales-cable-a-una-mano.png,elevaciones-frontales-cable-a-una-mano,data/exercises_complete.json,57,elevaciones-frontales-cable-a-una-mano,Elevaciones Frontales Cable A Una Mano
/static/images/hombros/elevaciones-posteriores-pajaro.png,elevaciones-posteriores-pajaro,data/exercises_complete.json,56,elevaciones-posteriores-pajaro,Elevaciones Posteriores Pajaro
/static/images/hombros/press-de-hombro-mancuernas.png,press-de-hombro-mancuernas,data/exercises_complete.json,55,press-de-hombro-mancuernas,Press De Hombro Mancuernas
/static/images/hombros/press-militar-mancuernas.png,press-militar-mancuernas,data/exercises_complete.json,54,press-militar-mancuernas,Press Militar Mancuernas
/static/images/hombros/elevaciones-frontales.png,elevaciones-frontales,data/exercises_complete.json,53,elevaciones-frontales,Elevaciones Frontales
/static/images/hombros/press-militar-tras-nuca.png,press-militar-tras-nuca,data/exercises_complete.json,52,press-militar-tras-nuca,Press Militar Tras Nuca
/static/images/hombros/elevaciones-frontales-polea-baja-neutro.png,elevaciones-frontales-polea-baja-neutro,data/exercises_complete.json,51,elevaciones-frontales-polea-baja-neutro,Elevaciones Frontales Polea Baja Neutro
/static/images/hombros/press-militar-con-barra-sentado.png,press-militar-con-barra-sentado,data/exercises_complete.json,50,press-militar-con-barra-sentado,Press Militar Con Barra Sentado
/static/images/hombros/elevaciones-frontales-barra.png,elevaciones-frontales-barra,data/exercises_complete.json,49,elevaciones-frontales-barra,Elevaciones Frontales Barra
/static/images/hombros/elevaciones-frontales-agarre-neutro.png,elevaciones-frontales-agarre-neutro,data/exercises_complete.json,48,elevaciones-frontales-agarre-neutro,Elevaciones Frontales Agarre Neutro
/static/images/hombros/press-militar-de-pie.png,press-militar-de-pie,data/exercises_complete.json,47,press-militar-de-pie,Press Militar De Pie
/static/images/hombros/remo-alto-barra.png,remo-alto-barra,data/exercises_complete.json,46,remo-alto-barra,Remo Alto Barra
/static/images/hombros/elevaciones-laterales-cable-bajo.png,elevaciones-laterales-cable-bajo,data/exercises_complete.json,45,elevaciones-laterales-cable-bajo,Elevaciones Laterales Cable Bajo
/static/images/hombros/cruces-inversos-polea-alta.png,cruces-inversos-polea-alta,data/exercises_complete.json,44,cruces-inversos-polea-alta,Cruces Inversos Polea Alta
/static/images/hombros/elevaciones-laterales.png,elevaciones-laterales,data/exercises_complete.json,43,elevaciones-laterales,Elevaciones Laterales
/static/images/hombros/press-militar.png,press-militar,data/exercises_complete.json,42,press-militar,Press Militar
/static/images/hombros/press-de-hombros-en-maquina-smith.png,press-de-hombros-en-maquina-smith,data/exercises_complete.json,41,press-de-hombros-en-maquina-smith,Press De Hombros En Maquina Smith
/static/images/piernas/sentadilla-goblet-mancuernra.png,sentadilla-goblet-mancuernra,data/exercises_complete.json,40,sentadilla-goblet-mancuerna,Sentadilla Goblet Mancuerna
/static/images/piernas/caminata-de-pato.png,caminata-de-pato,data/exercises_complete.json,39,caminata-de-pato,Caminata De Pato
/static/images/piernas/sentadilla-frontal.png,sentadilla-frontal,data/exercises_complete.json,38,sentadilla-frontal,Sentadilla Frontal
