image,filename,match_source,match_id,match_slug,match_name,ambiguous,match_score
/static/images/espalda/jalon-al-pecho-agarre-cerrado.png,jalon-al-pecho-agarre-cerrado,data/exercises_complete.json,117,jalon-al-pecho-agarre-cerrado,Jalon Al Pecho Agarre Cerrado,False,999
/static/images/espalda/remo-inclinado-con-mancuernas.png,remo-inclinado-con-mancuernas,data/exercises_complete.json,116,remo-inclinado-con-mancuernas,Remo Inclinado Con Mancuernas,False,999
/static/images/espalda/dominadas-agarre-supinado.png,dominadas-agarre-supinado,data/exercises_complete.json,115,dominadas-agarre-supinado,Dominadas Agarre Supinado,False,999
/static/images/espalda/jalon-polea-con-cuerda.png,jalon-polea-con-cuerda,data/exercises_complete.json,114,jalon-polea-con-cuerda,Jalon Polea Con Cuerda,False,999
/static/images/espalda/jalon-al-pecho-agarre-invertido.png,jalon-al-pecho-agarre-invertido,data/exercises_complete.json,113,jalon-al-pecho-agarre-invertido,Jalon Al Pecho Agarre Invertido,False,999
/static/images/espalda/remo-con-mancuerna-una-mano.png,remo-con-mancuerna-una-mano,data/exercises_complete.json,112,remo-con-mancuerna-una-mano,Remo Con Mancuerna Una Mano,False,999
/static/images/espalda/peso-muerto-sumo.png,peso-muerto-sumo,data/exercises_complete.json,111,peso-muerto-sumo,Peso Muerto Sumo,False,999
/static/images/espalda/remo-con-barra-agarre-supinado.png,remo-con-barra-agarre-supinado,data/exercises_complete.json,110,remo-con-barra-agarre-supinado,Remo Con Barra Agarre Supinado,False,999
/static/images/espalda/peso-muerto.png,peso-muerto,data/exercises_v2_with_images.json,6,peso-muerto,Peso muerto,False,999
/static/images/espalda/pullover-con-barra.png,pullover-con-barra,data/exercises_complete.json,108,pullover-con-barra,Pullover Con Barra,False,999
/static/images/espalda/jalon-dorsal-con-brazos-rectos.png,jalon-dorsal-con-brazos-rectos,data/exercises_complete.json,107,jalon-dorsal-con-brazos-rectos,Jalon Dorsal Con Brazos Rectos,False,999
/static/images/espalda/jalon-al-pecho-agarre-ancho.png,jalon-al-pecho-agarre-ancho,data/exercises_complete.json,106,jalon-al-pecho-agarre-ancho,Jalon Al Pecho Agarre Ancho,False,999
/static/images/espalda/dominadas.png,dominadas,data/exercises_v2_with_images.json,5,dominadas,Dominadas,False,999
/static/images/espalda/remo-maquina.png,remo-maquina,data/exercises_complete.json,104,remo-maquina,Remo Maquina,False,999
/static/images/espalda/encogimiento-de-hombros-barra.png,encogimiento-de-hombros-barra,data/exercises_complete.json,103,encogimiento-de-hombros-barra,Encogimiento De Hombros Barra,False,999
/static/images/espalda/peso-muerto-con-mancuernas.png,peso-muerto-con-mancuernas,data/exercises_complete.json,102,peso-muerto-con-mancuernas,Peso Muerto Con Mancuernas,False,999
/static/images/espalda/remo-en-barra-t.png,remo-en-barra-t,data/exercises_complete.json,101,remo-en-barra-t,Remo En Barra T,False,999
/static/images/espalda/encogimiento-de-hombros-mancuernas.png,encogimiento-de-hombros-mancuernas,data/exercises_complete.json,100,encogimiento-de-hombros-mancuernas,Encogimiento De Hombros Mancuernas,False,999
/static/images/espalda/pullover-con-mancuerna.png,pullover-con-mancuerna,data/exercises_complete.json,99,pullover-con-mancuerna,Pullover Con Mancuerna,False,999
/static/images/espalda/peso-muerto-con-barra-hexagonal.png,peso-muerto-con-barra-hexagonal,data/exercises_complete.json,98,peso-muerto-con-barra-hexagonal,Peso Muerto Con Barra Hexagonal,False,999
/static/images/espalda/remo-con-barra.png,remo-con-barra,data/exercises_complete.json,97,remo-con-barra,Remo Con Barra,False,999
/static/images/triceps/press-frances-sentado-barra.png,press-frances-sentado-barra,data/exercises_complete.json,96,press-frances-sentado-barra,Press Frances Sentado Barra,False,999
/static/images/triceps/extension-triceps-agarre-inverso-barra.png,extension-triceps-agarre-inverso-barra,data/exercises_complete.json,95,extension-triceps-agarre-inverso-barra,Extension Triceps Agarre Inverso Barra,False,999
